run,trial,action,time,Participant,EyeTracking,Screen,date,expName,
3,24,newTrial,1187.691927429998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,24,submit,1198.195271059998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,25,newTrial,1202.1888186879987,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,25,submit,1259.4015350839982,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,26,newTrial,1263.3981630130002,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,26,submit,1313.0074408330001,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,27,newTrial,1317.0040890759992,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,27,submit,1347.4882343009995,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,28,newTrial,1351.4857995460006,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
3,28,break,1351.4877284359973,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,28,newRun,1434.6119801649984,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,28,submit,1447.1531323179988,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,29,newTrial,1451.1467211819981,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,29,submit,1500.0211188229987,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,30,newTrial,1504.0091075329983,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,30,submit,1540.161647224999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,31,newTrial,1544.1506826989971,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,31,submit,1572.4800463669999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,32,newTrial,1576.4600133620006,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,32,submit,1607.764624411,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,33,newTrial,1611.7550786059983,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,33,submit,1625.974684435998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,34,newTrial,1629.9714928579997,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,34,submit,1680.4097562049974,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,35,newTrial,1684.402296467997,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,35,submit,1699.7574230819991,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,36,newTrial,1703.7501238149998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,36,submit,1754.1810617400006,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,36,submit,1769.420357056999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,37,newTrial,1773.405589957998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
4,37,break,1773.408960249999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,37,newRun,1878.3630393679996,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,37,submit,1890.240546607998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,38,newTrial,1894.2278038250006,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,38,submit,1907.036124078997,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,38,submit,1933.0999185399996,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,38,submit,1961.6030426979996,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,39,newTrial,1965.5881619499996,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,39,submit,2064.0899246439985,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,40,newTrial,2068.0766253349975,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,40,submit,2090.9390790519974,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,41,newTrial,2094.923993067998,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,41,submit,2115.7230208149995,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,42,newTrial,2119.7086807199994,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,42,submit,2146.254750693999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,43,newTrial,2150.241950546999,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,43,submit,2172.52791696,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,44,newTrial,2176.5117909539986,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,44,submit,2220.0133030649995,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,45,newTrial,2224.002689138997,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
5,45,submit,2276.5494325779982,lbsz,On,eyeTrack1,2023_Mar_03_1320,ARCeyetracking,
,45,stop,2280.5392955259995,,,,,,
